CreditScore,Savings,LoanRequested,City,Decision
793,77919,256567,Wilmington,1
734,83266,246000,Wilmington,1
756,32234,248178,Wilmington,0
724,75237,221990,Newark,1
666,57595,367588,Newark,0
822,92991,361882,Newark,1
591,22254,116859,Wilmington,0
530,27791,274453,Wilmington,0
471,32820,348221,Wilmington,0
558,53113,374972,Wilmington,0
411,47319,157759,Wilmington,0
466,75653,291437,Wilmington,0
412,73250,306881,Wilmington,0
480,24935,369534,Wilmington,0
396,43613,206011,Wilmington,0
631,42241,389645,Newark,0
402,40596,305443,Wilmington,0
399,60213,491966,Wilmington,0
762,42473,279992,Wilmington,0
531,10069,319566,Wilmington,0
522,42209,442155,Wilmington,0
416,52131,382641,Wilmington,0
461,69493,234517,Wilmington,0
574,28312,267967,Wilmington,0
380,90913,301823,Wilmington,0
634,52099,348652,Wilmington,0
567,67741,315480,Wilmington,0
572,80035,372778,Newark,0
323,43984,527141,Newark,0
341,44870,425599,Newark,0
849,84427,211857,Wilmington,1
604,48727,347146,Wilmington,0
373,23591,513063,Wilmington,0
315,64046,270983,Newark,0
625,29123,372698,Newark,0
334,43543,385779,Wilmington,0
590,96087,287786,Newark,0
472,69624,466441,Newark,0
340,59235,373176,Wilmington,0
304,76424,233227,Wilmington,0
801,56965,246656,Wilmington,0
668,70928,383939,Wilmington,0
771,71334,78897,Wilmington,1
847,58823,225253,Wilmington,1
578,64876,293050,Wilmington,0
443,79043,421422,Wilmington,0
843,28877,221835,Wilmington,0
387,50417,344486,Newark,0
608,45896,452760,Newark,0
485,73963,239104,Wilmington,0
535,48552,101076,Wilmington,0
517,42258,214961,Wilmington,0
753,84373,117538,Wilmington,1
607,65287,559582,Wilmington,0
468,39730,316754,Wilmington,0
359,24637,457391,Wilmington,0
749,56697,424903,Wilmington,0
512,19184,325026,Wilmington,0
507,31363,279096,Wilmington,0
488,13418,302657,Newark,0
468,37565,147420,Wilmington,0
814,33877,259375,Wilmington,0
676,40980,185043,Wilmington,0
303,48732,284842,Wilmington,0
493,60537,4027,Wilmington,1
564,35491,323988,Wilmington,0
792,13259,447561,Wilmington,0
450,66022,292316,Wilmington,0
578,54510,163386,Newark,0
771,28294,388427,Wilmington,0
438,84148,399657,Wilmington,0
615,77861,317742,Wilmington,0
717,38961,446799,Wilmington,0
471,30744,262221,Newark,0
622,68943,409122,Wilmington,0
409,109791,269163,Wilmington,0
745,63622,373455,Wilmington,0
445,47055,390534,Wilmington,0
735,46878,237229,Newark,0
454,50443,438603,Newark,0
719,30991,283426,Wilmington,0
819,93141,324374,Wilmington,1
596,85562,206339,Wilmington,0
380,48488,355928,Wilmington,0
360,60654,604100,Newark,0
643,58124,571,Newark,1
773,87641,474904,Wilmington,0
759,29016,132956,Wilmington,0
660,77342,222839,Newark,1
367,60595,294352,Wilmington,0
736,68322,271127,Wilmington,1
333,83835,355905,Wilmington,0
695,12722,311677,Wilmington,0
824,70663,318294,Wilmington,0
525,42284,338940,Wilmington,0
501,55381,525166,Wilmington,0
668,59050,411501,Newark,0
302,32110,362268,Newark,0
711,37269,391574,Wilmington,0
742,83998,335751,Wilmington,1
374,41671,237544,Wilmington,0
623,35121,274194,Wilmington,0
437,76220,335975,Newark,0
572,36135,344988,Newark,0
417,45106,342037,Newark,0
523,55696,413390,Newark,0
456,59105,376910,Newark,0
687,83823,266719,Wilmington,1
560,36490,231138,Wilmington,0
463,56846,402190,Newark,0
762,94865,356513,Wilmington,1
698,24834,435713,Wilmington,0
441,41387,29310,Wilmington,1
414,15633,283687,Wilmington,0
810,24137,273732,Newark,0
484,6764,343034,Newark,0
320,91435,220610,Wilmington,0
308,59912,449415,Wilmington,0
496,64199,418814,Newark,0
787,23175,169342,Wilmington,0
512,82675,458788,Wilmington,0
522,56611,212517,Wilmington,0
563,32781,485088,Newark,0
610,41830,148695,Newark,1
630,48772,224801,Wilmington,0
497,37278,262381,Wilmington,0
822,88272,332669,Wilmington,1
738,21496,329175,Newark,0
833,54508,408657,Wilmington,0
788,43050,393378,Wilmington,0
397,58893,365537,Wilmington,0
565,57884,395149,Wilmington,0
536,91857,241386,Wilmington,0
616,26853,220943,Wilmington,0
321,35498,338630,Wilmington,0
659,23329,120810,Newark,0
371,38509,157177,Newark,0
367,30328,344788,Wilmington,0
495,73355,125174,Wilmington,0
394,20854,158948,Wilmington,0
308,24691,385903,Wilmington,0
437,39181,358867,Wilmington,0
332,36855,331372,Newark,0
377,55532,369539,Wilmington,0
694,41512,180401,Newark,0
373,16296,377698,Wilmington,0
590,61623,195915,Wilmington,0
327,68792,136914,Wilmington,0
651,78139,151886,Wilmington,1
825,53169,315989,Wilmington,0
400,34953,308345,Newark,0
369,46746,308208,Wilmington,0
468,84202,187930,Newark,0
419,47166,135722,Wilmington,0
550,24462,315056,Wilmington,0
321,43416,284492,Wilmington,0
594,54519,358837,Wilmington,0
751,55954,421533,Wilmington,0
571,21602,302171,Wilmington,0
786,90209,252846,Wilmington,1
323,57412,398201,Wilmington,0
499,52727,387099,Wilmington,0
625,66567,128216,Wilmington,0
410,60581,503429,Wilmington,0
679,18180,384034,Wilmington,0
462,40234,205841,Wilmington,0
764,11595,305863,Wilmington,0
684,48566,227138,Wilmington,0
844,37098,221234,Wilmington,0
584,70122,250077,Wilmington,0
583,52870,255926,Wilmington,0
695,73053,418672,Wilmington,0
737,52413,487475,Wilmington,0
582,51861,324859,Newark,0
737,56928,205173,Newark,1
719,79377,241630,Wilmington,1
848,52864,285292,Wilmington,0
770,63398,367616,Wilmington,0
680,56257,261320,Wilmington,0
584,62378,346510,Wilmington,0
721,36536,221386,Wilmington,0
528,61286,229647,Wilmington,0
506,46038,273537,Newark,0
833,39750,238482,Newark,0
406,38186,323072,Wilmington,0
462,55810,289876,Wilmington,0
591,61813,335716,Newark,0
